sample,arabinose,AHL,fluo,time,mean,sd,category
Homogenous_offsite,2.00E-07,0.1,mKate,16.66666667,787.3381245,538.0589305,4
Homogenous_offsite,2.00E-07,10,mKate,16.66666667,2008.503745,1781.088296,4
Homogenous_offsite,2.00E-06,0,mKate,16.66666667,75.67549707,45.9672781,4
Homogenous_offsite,2.00E-06,0.0015625,mKate,16.66666667,77.10576482,46.82501462,4
Homogenous_offsite,2.00E-06,0.00625,mKate,16.66666667,78.78431594,54.38950471,4
Homogenous_offsite,2.00E-06,0.025,mKate,16.66666667,172.4954412,93.5526603,4
Homogenous_offsite,2.00E-06,0.1,mKate,16.66666667,745.9056746,507.8598862,4
Homogenous_offsite,2.00E-06,10,mKate,16.66666667,1982.313271,1728.692786,4
Homogenous_offsite,2.00E-05,0,mKate,16.66666667,92.03090393,55.43503487,4
Homogenous_offsite,2.00E-05,0.0015625,mKate,16.66666667,85.44628761,45.30328224,4
Homogenous_offsite,2.00E-05,0.00625,mKate,16.66666667,88.00406673,50.90077233,4
Homogenous_offsite,2.00E-05,0.025,mKate,16.66666667,190.1196853,108.2478074,4
Homogenous_offsite,2.00E-05,0.1,mKate,16.66666667,717.1560081,504.9720792,4
Homogenous_offsite,2.00E-05,10,mKate,16.66666667,2118.386002,1971.224805,4
Homogenous_offsite,2.00E-04,0,mKate,16.66666667,94.6558658,44.67544819,4
Homogenous_offsite,2.00E-04,0.0015625,mKate,16.66666667,86.66704337,43.38282847,4
Homogenous_offsite,2.00E-04,0.00625,mKate,16.66666667,99.26513972,53.35345733,4
Homogenous_offsite,2.00E-04,0.025,mKate,16.66666667,180.7699776,99.58846059,4
Homogenous_offsite,2.00E-04,0.1,mKate,16.66666667,696.6467294,528.7107014,4
Homogenous_offsite,2.00E-04,10,mKate,16.66666667,2247.135694,2071.236681,4
Homogenous_offsite,0.002,0,mKate,16.66666667,62.03111271,28.69659518,4
Homogenous_offsite,0.002,0.0015625,mKate,16.66666667,76.28227452,34.52878883,4
Homogenous_offsite,0.002,0.00625,mKate,16.66666667,84.78634661,40.0193998,4
Homogenous_offsite,0.002,0.025,mKate,16.66666667,153.0280167,83.26943349,4
Homogenous_offsite,0.002,0.1,mKate,16.66666667,809.0903467,595.8162685,4
Homogenous_offsite,0.002,10,mKate,16.66666667,2038.278787,1827.76408,4
Homogenous_offsite,0.02,0,mKate,16.66666667,91.34098565,43.4789475,4
Homogenous_offsite,0.02,0.0015625,mKate,16.66666667,83.68882771,38.06295822,4
Homogenous_offsite,0.02,0.00625,mKate,16.66666667,92.00783089,49.88486925,4
Homogenous_offsite,0.02,0.025,mKate,16.66666667,192.7585709,113.6463472,4
Homogenous_offsite,0.02,0.1,mKate,16.66666667,819.8819969,653.4505793,4
Homogenous_offsite,0.02,10,mKate,16.66666667,2155.812123,2018.672897,4
Homogenous_offsite,0.2,0,mKate,16.66666667,102.4814387,56.9416371,4
Homogenous_offsite,0.2,0.0015625,mKate,16.66666667,88.78688965,44.85941539,4
Homogenous_offsite,0.2,0.00625,mKate,16.66666667,113.9227207,58.99284891,4
Homogenous_offsite,0.2,0.025,mKate,16.66666667,284.4027985,205.16215,4
Homogenous_offsite,0.2,0.1,mKate,16.66666667,1129.015769,998.7727053,4
Homogenous_offsite,0.2,10,mKate,16.66666667,2322.268728,2312.016637,4
Homogenous_onsite,0,0,mKate,16.66666667,81.4040037,20.55638547,3
Homogenous_onsite,0,0.0015625,mKate,16.66666667,86.53673433,16.0160758,3
Homogenous_onsite,0,0.00625,mKate,16.66666667,98.38604972,26.73401769,3
Homogenous_onsite,0,0.025,mKate,16.66666667,241.6023226,133.9629335,3
Homogenous_onsite,0,0.1,mKate,16.66666667,1063.794878,784.4144016,3
Homogenous_onsite,0,10,mKate,16.66666667,2641.742494,2342.933358,3
Homogenous_onsite,2.00E-07,0,mKate,16.66666667,70.21036089,16.91842777,3
Homogenous_onsite,2.00E-07,0.0015625,mKate,16.66666667,68.66460221,16.10590613,3
Homogenous_onsite,2.00E-07,0.00625,mKate,16.66666667,80.84231609,19.83837847,3
Homogenous_onsite,2.00E-07,0.025,mKate,16.66666667,189.2288855,104.619393,3
Homogenous_onsite,2.00E-07,0.1,mKate,16.66666667,924.1202686,733.4942708,3
Homogenous_onsite,2.00E-07,10,mKate,16.66666667,2492.027388,2186.206994,3
Homogenous_onsite,2.00E-06,0,mKate,16.66666667,62.49886262,11.58651641,3
Homogenous_onsite,2.00E-06,0.0015625,mKate,16.66666667,69.06017017,11.64125611,3
Homogenous_onsite,2.00E-06,0.00625,mKate,16.66666667,73.41001073,7.868702752,3
Homogenous_onsite,2.00E-06,0.025,mKate,16.66666667,179.9595519,105.9440891,3
Homogenous_onsite,2.00E-06,0.1,mKate,16.66666667,857.3282726,715.0680958,3
Homogenous_onsite,2.00E-06,10,mKate,16.66666667,2238.160298,2179.758814,3
Homogenous_onsite,2.00E-05,0,mKate,16.66666667,70.87469534,20.25111903,3
Homogenous_onsite,2.00E-05,0.0015625,mKate,16.66666667,72.77564733,22.62392638,3
Homogenous_onsite,2.00E-05,0.00625,mKate,16.66666667,78.70219091,20.39831415,3
Homogenous_onsite,2.00E-05,0.025,mKate,16.66666667,167.0257191,93.75337908,3
Homogenous_onsite,2.00E-05,0.1,mKate,16.66666667,772.7284312,656.5650495,3
Homogenous_onsite,2.00E-05,10,mKate,16.66666667,2207.107036,2168.11496,3
Homogenous_onsite,2.00E-04,0,mKate,16.66666667,93.63875865,27.83523158,3
Homogenous_onsite,2.00E-04,0.0015625,mKate,16.66666667,80.52555285,27.86082765,3
Homogenous_onsite,2.00E-04,0.00625,mKate,16.66666667,92.90134628,30.39514047,3
Homogenous_onsite,2.00E-04,0.025,mKate,16.66666667,183.0177013,106.4907592,3
