sample,arabinose,AHL,fluo,time,mean,sd
Homogenous_offsite,0.0000002,0.1,GFP,16.66666667,30536.92527,10113.98023
Homogenous_offsite,0.0000002,0.1,mKate,16.66666667,787.3381245,538.0589305
Homogenous_offsite,0.0000002,10,GFP,16.66666667,14363.81175,5027.997782
Homogenous_offsite,0.0000002,10,mKate,16.66666667,2008.503745,1781.088296
Homogenous_offsite,0.000002,0,GFP,16.66666667,81455.24306,19175.70987
Homogenous_offsite,0.000002,0,mKate,16.66666667,75.67549707,45.9672781
Homogenous_offsite,0.000002,0.0015625,GFP,16.66666667,116692.5247,45332.3099
Homogenous_offsite,0.000002,0.0015625,mKate,16.66666667,77.10576482,46.82501462
Homogenous_offsite,0.000002,0.00625,GFP,16.66666667,90045.66718,25073.16316
Homogenous_offsite,0.000002,0.00625,mKate,16.66666667,78.78431594,54.38950471
Homogenous_offsite,0.000002,0.025,GFP,16.66666667,61213.12951,17974.49293
Homogenous_offsite,0.000002,0.025,mKate,16.66666667,172.4954412,93.5526603
Homogenous_offsite,0.000002,0.1,GFP,16.66666667,33272.03057,14163.74279
Homogenous_offsite,0.000002,0.1,mKate,16.66666667,745.9056746,507.8598862
Homogenous_offsite,0.000002,10,GFP,16.66666667,14324.79811,5213.806122
Homogenous_offsite,0.000002,10,mKate,16.66666667,1982.313271,1728.692786
Homogenous_offsite,0.00002,0,GFP,16.66666667,179793.7413,32598.68798
Homogenous_offsite,0.00002,0,mKate,16.66666667,92.03090393,55.43503487
Homogenous_offsite,0.00002,0.0015625,GFP,16.66666667,182449.8322,37269.27724
Homogenous_offsite,0.00002,0.0015625,mKate,16.66666667,85.44628761,45.30328224
Homogenous_offsite,0.00002,0.00625,GFP,16.66666667,177562.6077,39659.83427
Homogenous_offsite,0.00002,0.00625,mKate,16.66666667,88.00406673,50.90077233
Homogenous_offsite,0.00002,0.025,GFP,16.66666667,144863.0433,36547.98548
Homogenous_offsite,0.00002,0.025,mKate,16.66666667,190.1196853,108.2478074
Homogenous_offsite,0.00002,0.1,GFP,16.66666667,83315.2559,40292.88713
Homogenous_offsite,0.00002,0.1,mKate,16.66666667,717.1560081,504.9720792
Homogenous_offsite,0.00002,10,GFP,16.66666667,15219.47585,6455.881407
Homogenous_offsite,0.00002,10,mKate,16.66666667,2118.386002,1971.224805
Homogenous_offsite,0.0002,0,GFP,16.66666667,202180.1496,40307.2156
Homogenous_offsite,0.0002,0,mKate,16.66666667,94.6558658,44.67544819
Homogenous_offsite,0.0002,0.0015625,GFP,16.66666667,193643.8264,39702.2581
Homogenous_offsite,0.0002,0.0015625,mKate,16.66666667,86.66704337,43.38282847
Homogenous_offsite,0.0002,0.00625,GFP,16.66666667,192919.697,40449.79093
Homogenous_offsite,0.0002,0.00625,mKate,16.66666667,99.26513972,53.35345733
Homogenous_offsite,0.0002,0.025,GFP,16.66666667,182614.3193,41794.64374
Homogenous_offsite,0.0002,0.025,mKate,16.66666667,180.7699776,99.58846059
Homogenous_offsite,0.0002,0.1,GFP,16.66666667,137341.7724,43338.61406
Homogenous_offsite,0.0002,0.1,mKate,16.66666667,696.6467294,528.7107014
Homogenous_offsite,0.0002,10,GFP,16.66666667,29091.89398,24048.14879
Homogenous_offsite,0.0002,10,mKate,16.66666667,2247.135694,2071.236681
Homogenous_offsite,0.002,0,GFP,16.66666667,146965.7773,31033.03228
Homogenous_offsite,0.002,0,mKate,16.66666667,62.03111271,28.69659518
Homogenous_offsite,0.002,0.0015625,GFP,16.66666667,144449.8217,32084.06682
Homogenous_offsite,0.002,0.0015625,mKate,16.66666667,76.28227452,34.52878883
Homogenous_offsite,0.002,0.00625,GFP,16.66666667,141855.5068,31213.85846
Homogenous_offsite,0.002,0.00625,mKate,16.66666667,84.78634661,40.0193998
Homogenous_offsite,0.002,0.025,GFP,16.66666667,132798.2463,30294.03753
Homogenous_offsite,0.002,0.025,mKate,16.66666667,153.0280167,83.26943349
Homogenous_offsite,0.002,0.1,GFP,16.66666667,108474.3089,40829.02078
Homogenous_offsite,0.002,0.1,mKate,16.66666667,809.0903467,595.8162685
Homogenous_offsite,0.002,10,GFP,16.66666667,31075.24753,23572.44327
Homogenous_offsite,0.002,10,mKate,16.66666667,2038.278787,1827.76408
Homogenous_offsite,0.02,0,GFP,16.66666667,149577.2425,34252.33063
Homogenous_offsite,0.02,0,mKate,16.66666667,91.34098565,43.4789475
Homogenous_offsite,0.02,0.0015625,GFP,16.66666667,143517.1956,33187.81162
Homogenous_offsite,0.02,0.0015625,mKate,16.66666667,83.68882771,38.06295822
Homogenous_offsite,0.02,0.00625,GFP,16.66666667,139917.4765,33167.80298
Homogenous_offsite,0.02,0.00625,mKate,16.66666667,92.00783089,49.88486925
Homogenous_offsite,0.02,0.025,GFP,16.66666667,131630.8392,32650.19362
Homogenous_offsite,0.02,0.025,mKate,16.66666667,192.7585709,113.6463472
Homogenous_offsite,0.02,0.1,GFP,16.66666667,109481.845,41096.1227
